File line_2.dat has 594 lines
9.446960 10.195334 1.755885 3.066012 -46502.619286
9.446960 10.195334 1.755885 3.066012 -46931.835968
9.399205 10.151664 1.761496 3.114836 -46510.568227
9.399205 10.151664 1.761496 3.114836 -46946.381394
9.406225 10.184875 1.737690 3.071431 -46240.497231
9.406225 10.184875 1.737690 3.071431 -46556.756891
9.406225 10.184875 1.737690 3.071431 -46652.708066
9.406225 10.184875 1.737690 3.071431 -46811.552466
9.414367 10.204204 1.768189 3.095816 -46481.894051
9.414367 10.204204 1.768189 3.095816 -46697.909700
9.449451 10.238379 1.773476 3.080694 -46630.341655
9.449451 10.238379 1.773476 3.080694 -46776.470505
9.410704 10.265724 1.771449 3.059254 -46183.458694
9.410704 10.265724 1.771449 3.059254 -46305.246864
9.410704 10.265724 1.771449 3.059254 -46722.949944
9.364350 10.302550 1.791726 3.029104 -45618.518054
9.331287 10.271217 1.833548 2.998200 -45148.823817
9.306127 10.263959 1.854598 2.978261 -44819.135150
9.306127 10.263959 1.854598 2.978261 -44852.837768
9.306127 10.263959 1.854598 2.978261 -45053.667803
9.348926 10.254961 1.874509 2.957559 -44980.524588
9.348926 10.254961 1.874509 2.957559 -45388.104433
9.342929 10.276066 1.853587 2.925028 -44699.319670
9.342929 10.276066 1.853587 2.925028 -45310.104143
9.381947 10.261851 1.882806 2.920725 -44952.653659
9.381947 10.261851 1.882806 2.920725 -45099.538874
9.430529 10.252024 1.880606 2.875652 -44978.303427
9.404057 10.298215 1.845727 2.893594 -44915.965825
9.362365 10.280032 1.847328 2.935251 -44915.712794
9.362365 10.280032 1.847328 2.935251 -45277.368035
9.362365 10.280032 1.847328 2.935251 -45336.360374
9.321325 10.285727 1.819886 2.966853 -44846.799705
9.321325 10.285727 1.819886 2.966853 -44935.038012
9.279084 10.289602 1.777059 3.009590 -44850.417739
9.279084 10.289602 1.777059 3.009590 -45474.896689
9.288705 10.285365 1.813912 3.023129 -45019.627872
9.259839 10.244391 1.850323 3.049557 -45001.806580
9.259839 10.244391 1.850323 3.049557 -45634.217332
9.282127 10.220481 1.850705 3.063520 -45267.253142
9.275299 10.172400 1.891239 3.048576 -45107.736314
9.275299 10.172400 1.891239 3.048576 -45146.394744
9.275299 10.172400 1.891239 3.048576 -45402.899264
9.265711 10.214108 1.850904 3.038332 -44962.673607
9.287825 10.228433 1.898179 2.994445 -44803.685331
9.256486 10.196442 1.854270 3.004396 -44647.780716
9.215070 10.155592 1.891686 3.022224 -44476.151511
9.215070 10.155592 1.891686 3.022224 -44572.621060
9.215070 10.155592 1.891686 3.022224 -44637.967820
